OBJECT_NAME,NORAD_CAT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
IRIDIUM 33,24946,PAYLOAD,2009-02-07 21:37:03.541151+00:00,14.34219243,0.0002249,86.3996,122.4895,84.4993,275.6459,1 24946U 97051C   09038.90073543 +.00000118 +00000-0 +35131-4 0  9995,2 24946 086.3996 122.4895 0002249 084.4993 275.6459 14.34219243597061
COSMOS 2251,22675,PAYLOAD,2009-02-08 10:47:43.175327+00:00,14.31135575,0.0016046,74.0357,21.3748,100.9148,259.3817,1 22675U 93036A   09039.44980527  .00000001  00000-0  10202-4 0  9993,2 22675 074.0357 021.3748 0016046 100.9148 259.3817 14.31135575817269
COSMOS 2251,22675,PAYLOAD,2009-02-08 12:28:22.744415+00:00,14.31135543,0.0016045,74.0356,21.2473,100.8058,259.4899,1 22675U 93036A   09039.51970769 -.00000003 +00000-0 +87983-5 0  9992,2 22675 074.0356 021.2473 0016045 100.8058 259.4899 14.31135543817277
IRIDIUM 33,24946,PAYLOAD,2009-02-08 16:02:11.432831+00:00,14.34219784,0.0002268,86.3996,122.1691,85.1934,274.9529,1 24946U 97051C   09039.66818788  .00000197  00000-0  63273-4 0  9992,2 24946 086.3996 122.1691 0002268 085.1934 274.9529 14.34219784597178
IRIDIUM 33,24946,PAYLOAD,2009-02-08 19:23:07.409759+00:00,14.3421966,0.0002264,86.3996,122.1108,85.3765,274.7689,1 24946U 97051C   09039.80772465 +.00000161 +00000-0 +50503-4 0  9992,2 24946 086.3996 122.1108 0002264 085.3765 274.7689 14.34219660597191
IRIDIUM 33,24946,PAYLOAD,2009-02-09 08:46:51.345120+00:00,14.34219614,0.0002273,86.3996,121.8779,85.9342,274.2112,1 24946U 97051C   09040.36587205  .00000121  00000-0  36194-4 0  9997,2 24946 086.3996 121.8779 0002273 085.9342 274.2112 14.34219614597272
COSMOS 2251,22675,PAYLOAD,2009-02-09 11:57:36.890496+00:00,14.31135643,0.0016027,74.0355,19.4646,98.7014,261.5952,1 22675U 93036A   09040.49834364 -.00000001  00000-0  95251-5 0  9996,2 22675 074.0355 019.4646 0016027 098.7014 261.5952 14.31135643817415
IRIDIUM 33,24946,PAYLOAD,2009-02-09 18:49:39.281951+00:00,14.34219863,0.0002288,86.3994,121.7028,85.1644,274.9812,1 24946U 97051C   09040.78448243 +.00000153 +00000-0 +47668-4 0  9994,2 24946 086.3994 121.7028 0002288 085.1644 274.9812 14.34219863597336
COSMOS 2251,22675,PAYLOAD,2009-02-10 18:09:29.389824+00:00,14.31135598,0.0016015,74.0357,17.1729,95.9865,264.3113,1 22675U 93036A   09041.75659016 -.00000010  00000-0  60222-5 0  9995,2 22675 074.0357 017.1729 0016015 095.9865 264.3113 14.31135598817592
IRIDIUM 33,24946,PAYLOAD,2009-02-10 18:16:11.094527+00:00,14.34220263,0.0002253,86.3989,121.296,89.6115,270.5342,1 24946U 97051C   09041.76123952  .00000148  00000-0  45664-4 0  9998,2 24946 086.3989 121.2960 0002253 089.6115 270.5342 14.34220263597475
